Dresses,Dresses_href,Blouses,Blouses_href,Jeans,Jeans_href,Jackets_Outwear,Jackets_Outwear_href,Jumpsuits_Jumpers,Jumpsuits_Jumpers_href,Swimsuit,Swimsuit_href,Link,Link_href,Garment_Name,Prices_before_and_after,Description1,Description2,Description3,Description4,Description5,Description6,Color,Sizes,SKU_code
,,Blouse,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/blouse/,,,,,,,,,"Floral Smocking Off Shoulder Blouse
	Sale!
	$55.00 $38.00",http://www.voluptuousclothing.com/product/floral-smocking-off-shoulder-blouse/,Floral Smocking Off Shoulder Blouse,$55.00 $38.00,#NAME?,#NAME?,#NAME?,"95% Polyester , 5% Spandex",null,null,Choose an optionIvory,Choose an option1X3X,T4962B
,,,,,,,,Jumpsuit/jumper,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/jumpsuitjumper/,,,"Lace Trim Flare Jumpsuit
	Sale!
	$270.00 $189.00",http://www.voluptuousclothing.com/product/black-wide-leg-jumpsuit-jumper-lace-neckline-zipper-closure/,Lace Trim Flare Jumpsuit,$270.00 $189.00,Fabulous jumpsuit flaunts a wide leg and fitted bodice with lace overlay for a perfectly polished look. Pockets. Sheer back with zip closure. We love the idea of wearing this piece to a fall wedding! A pretty alternative to any dress.,"Fiber Content: 92% polyester, 8% spandex",E-Curvy Cut,null,null,null,Choose an optionBlack,Choose an option22,XF33503
Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,,,"Knot Front Ribbed Mini Dress
	Sale!
	$55.00 $39.99",http://www.voluptuousclothing.com/product/knot-front-ribbed-mini-dress/,Knot Front Ribbed Mini Dress,$55.00 $39.99,#NAME?,#NAME?,#NAME?,#NAME?,"-95% Rayon , 5% Spandex",null,Choose an optionBlack,Choose an option1X2X3X,14831-d-D-1
,,,,Jeans,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/jeans/,,,,,,,"High Waisted Daisy Duke Shorts
	Sale!
	$59.99 $39.99",http://www.voluptuousclothing.com/product/high-waisted-daisy-duke-shorts/,High Waisted Daisy Duke Shorts,$59.99 $39.99,#NAME?,#NAME?,#NAME?,-2 deep back pockets,"97% cotton, 3% spandex",null,Choose an optionBlack,Choose an option2X3X,6086x
,,,,,,,,Jumpsuit/jumper,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/jumpsuitjumper/,,,"Pineapple Jumpsuit
	Sale!
	$110.00 $77.00",http://www.voluptuousclothing.com/product/jumpsuit/,Pineapple Jumpsuit,$110.00 $77.00,#NAME?,95% Polyester 5% Spandex,null,null,null,null,Choose an optionBlack,Choose an option1X2X3X,Aj9675P
Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,,,"Mesh Contrast A-Line Dress
	Sale!
	$95.00 $49.99",http://www.voluptuousclothing.com/product/mesh-contrast-a-line-dress/,Mesh Contrast A-Line Dress,$95.00 $49.99,#NAME?,"95% Polyester, 5% Spandex",null,null,null,null,Choose an optionBlack,Choose an option1X2X3X,IXD4307Hp
,,,,,,,,Jumpsuit/jumper,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/jumpsuitjumper/,,,"Belted Cape Jumpsuit
	Sale!
	$245.00 $169.00",http://www.voluptuousclothing.com/product/black-white-cape-jumpsuit-one-piece-buckle-belt-formal-statement/,Belted Cape Jumpsuit,$245.00 $169.00,null,null,null,null,null,null,Choose an optionBlack,Choose an option3X,JX097-7443
,,,,Jeans,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/jeans/,,,,,,,"High Rise Skinny Damaged Jeans
	Sale!
	$85.00 $49.99",http://www.voluptuousclothing.com/product/high-rise-skinny-damaged-jeans/,High Rise Skinny Damaged Jeans,$85.00 $49.99,#NAME?,#NAME?,#NAME?,#NAME?,-5 pocket Design,null,Choose an optionJean,Choose an option1X3X,N/A
Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,,,"Floral Print Halter A-Line Dress
	Sale!
	$79.99 $59.00",http://www.voluptuousclothing.com/product/floral-print-halter-a-line-dress/,Floral Print Halter A-Line Dress,$79.99 $59.00,#NAME?,"95% Rayon, 4% Spandex",null,null,null,null,Choose an optionBlack,Choose an option1X3X,Pl1036
,,Blouse,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/blouse/,,,,,,,,,"Army Slay T-Shirt
	$35.00",http://www.voluptuousclothing.com/product/army-slay-t-shirt/,Army Slay T-Shirt,$35.00 ,#NAME?,´è_´è_´è_ Slay over print,#NAME?,"97% Rayon , 3% Spandex",null,null,Choose an optionOlive,Choose an option2X,LT19038
Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,,,"V Neck Banded Bodycon Dress
	Sale!
	$59.00 ´è_´è_´è_ $79.99",http://www.voluptuousclothing.com/product/bodycon-dress/,V Neck Banded Bodycon Dress,$59.00 ´è_´è_´è_ $79.99,#NAME?,"95% Polyester , 5% Spandex",null,null,null,null,Choose an optionPink,Choose an option3X,CD51721P
Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,,,"Dotted Baby Doll Mini Dress
	Sale!
	$59.99 $39.99",http://www.voluptuousclothing.com/product/baby-doll-mini-dress/,Dotted Baby Doll Mini Dress,$59.99 $39.99,#NAME?,#NAME?,#NAME?,#NAME?,Dress 100% Cotton,null,Choose an optionBlack,Choose an option2X3X,CD1184P-D
,,,,,,,,Jumpsuit/jumper,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/jumpsuitjumper/,,,"Kimono Open Front Flare Romper
	Sale!
	$59.99 $39.99",http://www.voluptuousclothing.com/product/romper/,Kimono Open Front Flare Romper,$59.99 $39.99,Kimono Romper,#NAME?,#NAME?,#NAME?,"95% Polyester, 5% Spandex",null,Choose an optionPink,Choose an option1X2X3X,Pl1190P-RP
,,Blouse,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/blouse/,,,,,,,,,"Choker Trim Cold Shoulder Blouse
	Sale!
	$55.00 $38.00",http://www.voluptuousclothing.com/product/choker-trim-cold-shoulder-blouse/,Choker Trim Cold Shoulder Blouse,$55.00 $38.00,null,null,null,null,null,null,Choose an optionBlackPink,Choose an option1X2X3X,z8323
,,,,Jeans,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/jeans/,,,,,,,"Distressed Skinny Jean
	Sale!
	$79.99 $56.00",http://www.voluptuousclothing.com/product/distressed-skinny-jean/,Distressed Skinny Jean,$79.99 $56.00,Our distressed stretch skinny jean is perfect for hugging your curves and giving you the perfect fit. This ripped & damaged jean is the perfect compliment to a trendy blouse or jacket. Wear this trendy damaged jean cropped by rolling it up or full length for a more dressy look.,98% cotton 4% spandex,null,null,null,null,Choose an optionJean,Choose an option14161822,AB14035DK
,,,,Jeans,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/jeans/,,,,,,,"Camouflage Jogger Pants
	Sale!
	$79.99 $56.00",http://www.voluptuousclothing.com/product/camouflage-jogger-pants/,Camouflage Jogger Pants,$79.99 $56.00,Update your wardrobe´è_´è_with this camouflage jogger pant. This pant is great to wear out for a ´è_´è_fun or casual afternoon. Our jogger army camouflage pants feature´è_´è_an elastic waist & hemline. The waist is also adjustable to suit a variety of curvy shapes.,"98% Cotton, 2% spandex",null,null,null,null,Choose an optionMulti,Choose an option2X,AB84774CP
Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,,,"Floral Print Off Shoulder Dress
	Sale!
	$79.99 $59.00",http://www.voluptuousclothing.com/product/floral-print-off-shoulder-dress/,Floral Print Off Shoulder Dress,$79.99 $59.00,"-Floral Mini Dres
-Off Shoulder
95% polyester 5% Spandex",null,null,null,null,null,Choose an optionBlackWhite,Choose an option3X,N/A
Dresses,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/dresses-new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/,,,,,,,,,,,"Mesh Floral Bodycon Dress
	Sale!
	$120.00 $84.00",http://www.voluptuousclothing.com/product/mesh-floral-bodycon-dress/,Mesh Floral Bodycon Dress,$120.00 $84.00,"-Floral Mesh Print
-Lined
-Bodycon Fit
-Midi Length
100% Polyester",null,null,null,null,null,Choose an optionBeige,Choose an option1X2X3Xl/XL,dx-1025
,,,,,,,,Jumpsuit/jumper,http://www.voluptuousclothing.com/product-category/new-plus-size-fashion-rio-can-durham-center-and-heartland-town-centre/jumpsuitjumper/,,,"Sequin Lace Jumpsuit
	Sale!
	$255.00 $175.00",http://www.voluptuousclothing.com/product/red-lace-sequin-cowl-neck-wide-leg-jumpsuit/,Sequin Lace Jumpsuit,$255.00 $175.00,"Some of our most elegant items this spring is our lace insert, cowell neck jumpsuit.´è_´è_Add an abundance of grace and class to your evening with one of our stunning lace insert jumpsuits. ´è_´è_Wide legs give your body the perfect shape, flattering your every curve. You will be the Belle of The Ball! You deserve it all!",Available in white in stores only,Fabric Contents: 100% Polyester Contrast ´è_´è_´è_ 92% Polyester 8% Spandex ´è_´è_Lining ´è_´è_´è_ 100% Polyester,Curvy Cut,null,null,Choose an optionRed,Choose an option1X2X3X,JX086-7390
